ID,POST_ID,MS_ID,MS_SPACEID,CAP_COLOR,METER_TYPE,SMART_METE,ACTIVESENS,JURISDICTI,ON_OFF_STR,OSP_ID,STREET_NUM,STREETNAME,STREET_SEG,RATEAREA,SFPARKAREA,LAT,LONG
,681-07161,681-07160,1,Black,MS,N,N,SFMTA,ON,0,716,TAYLOR ST,12437000,MC1, ,37.78934,-122.411931
,500-17010,-,0,Black,SS,N,N,SFMTA,ON,0,1701,JACKSON ST,7397000,MC3, ,37.793852,-122.423275
,224-30150,-,0,Black,SS,N,N,SFMTA,ON,0,3015,24TH ST,1337000,MC3, ,37.752536,-122.412528
,208-06650,-,0,Black,SS,N,N,SFMTA,ON,0,665,08TH ST,417000,MC3, ,37.770213,-122.403984
,612-03140,612-03002,14,Black,MS,Y,N,SFMTA,ON,0,314,POLK ST,10549000,MC5,Civic Center,37.77952,-122.418312
,600-05031,600-05030,1,Black,MS,N,N,SFMTA,ON,0,503,PACIFIC AVE,10122000,MC2, ,37.797238,-122.403841
,462-14240,-,0,Black,SS,N,N,SFMTA,ON,0,1424,HAIGHT ST,6618000,MC3, ,37.770169,-122.446153
,462-15030,-,0,Black,SS,N,N,SFMTA,ON,0,1503,HAIGHT ST,6619000,MC3, ,37.769919,-122.44714
,700-05530,-,0,Black,SS,Y,N,SFMTA,ON,0,553,VALENCIA ST,13060000,MC5,Mission,37.763615,-122.421653
,423-01320,423-01004,32,Black,MS,Y,N,SFMTA,ON,0,132,FULTON ST,5881000,MC5,Civic Center,37.77986,-122.415673
,442-04031,442-04030,1,Black,MS,N,N,SFMTA,ON,0,403,GOLDEN GATE AVE,6264000,MC5,Civic Center,37.781354,-122.417373
,596-00385,596-00380,5,Black,MS,N,N,SFMTA,ON,0,38,OTIS ST,10046000,MC3, ,37.772449,-122.419641
,202-05500,-,0,Black,SS,Y,N,SFMTA,ON,0,550,02ND ST,144000,MC5,South Embarcadero,37.782529,-122.39308
,830-05580,-,0,Black,SS,Y,N,PORT,ON,0,558,EMBARCADERO NORTH,12556102,PortMC1, ,37.800921,-122.399407
,857-17050,857-17001,5,Black,MS,N,N,PORT,ON,0,1705,MONTGOMERY ST,9321000,PortMC1, ,37.804962,-122.405271
,462-15300,-,0,Black,SS,N,N,SFMTA,ON,0,1530,HAIGHT ST,6619000,MC3, ,37.769948,-122.447886
,562-01221,562-01220,1,Black,MS,N,N,SFMTA,ON,0,122,MASON ST,8800000,MC1, ,37.784972,-122.409368
,841-00380,841-00002,38,Black,MS,N,N,PORT,ON,0,38,GREEN ST,6438001,PortMC1, ,37.800686,-122.400138
,209-04540,-,0,Black,SS,N,N,SFMTA,ON,0,454,09TH ST,458000,MC3, ,37.771412,-122.408822
,612-11041,612-11040,1,Black,MS,N,N,SFMTA,ON,0,1104,POLK ST,10563000,MC3, ,37.786983,-122.41988
,841-00340,841-00002,34,Black,MS,N,N,PORT,ON,0,34,GREEN ST,6438001,PortMC1, ,37.80069,-122.400106
,355-17040,-,0,Black,SS,N,N,SFMTA,ON,0,1704,CHURCH ST,4037000,MC3, ,37.743565,-122.426749
,819-00180,819-00002,18,Black,MS,N,N,PORT,ON,0,18,BROADWAY,3142000,PortMC1, ,37.798981,-122.398548
,563-03120,563-03002,12,Black,MS,Y,N,SFMTA,ON,0,312,MCALLISTER ST,8893000,MC5,Civic Center,37.780516,-122.417467
,687-00550,-,0,Black,SS,N,N,SFMTA,ON,0,55,TAPIA DR,12375000,MC3, ,37.721667,-122.480576
,501-01101,501-01100,1,Black,MS,N,N,SFMTA,ON,0,110,JESSIE ST,7517000,MC5,Downtown,37.788261,-122.400637
,561-02171,561-02170,1,Black,MS,N,N,SFMTA,ON,0,217,MAIN ST,8629000,MC5,Downtown,37.79051,-122.393138
,224-30130,-,0,Black,SS,N,N,SFMTA,ON,0,3013,24TH ST,1337000,MC3, ,37.752537,-122.412512
,359-05341,359-05340,1,Black,MS,N,N,SFMTA,ON,0,534,CLAY ST,4085000,MC5,Downtown,37.794807,-122.402643
,568-45140,-,0,Black,SS,N,N,SFMTA,ON,0,4514,MISSION ST,9162000,MC3, ,37.725494,-122.434303
,331-05790,-,0,Black,SS,Y,N,SFMTA,ON,0,579,BRYANT ST,3284000,MC5,South Embarcadero,37.779763,-122.397651
,666-24060,-,0,Black,SS,N,N,SFMTA,ON,0,2406,SUTTER ST,12343000,MC3, ,37.785242,-122.440337
,859-00460,-,0,Black,SS,Y,N,PORT,ON,0,46,NORTH POINT ST,9686000,PortMC1, ,37.807332,-122.408106
,386-02071,386-02070,1,Black,MS,N,N,SFMTA,ON,0,207,DRUMM ST,4972000,MC5,Downtown,37.795726,-122.396932
,561-02081,561-02080,1,Black,MS,N,N,SFMTA,ON,0,208,MAIN ST,8629000,MC5,Downtown,37.790317,-122.393153
,420-02370,-,0,Black,SS,N,N,SFMTA,ON,0,237,FREMONT ST,5863000,MC5,Downtown,37.788648,-122.394268
,205-01321,205-01320,1,Black,MS,N,N,SFMTA,ON,0,132,05TH ST,294000,MC5,Downtown,37.781967,-122.405647
